name	price	off	ratings	total_ratings	free_delivery	fastest_delivery
"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop"	35990.0	0.26	3.7	552	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Dell {Smartchoice} G15-5530 Core i5-13450HX| NVIDIA RTX 3050, 6GB (16GB RAM|1TB SSD, FHD|Window 11|MS Office' 21|15.6"" (39.62cm)|Dark Shadow Grey|2.65Kg|Gaming Laptop"	77990.0	0.26	3.9	929	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Acer Chromebook CB315-4H Intel Celeron N4500 (Chrome OS/8 GB RAM/128 GB/WiFi 6) 39.6 cm (15.6"") Full HD, Silver, 1.6 KG, 3 Months Google One AI Premium Plan with Gemini Advanced & 2TB Cloud Storage"	15990.0	0.57	3.4	30	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG"	20990.0	0.32	3.3	139	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Apple MacBook Air Laptop: Apple M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey	73990.0	0.2	4.6	5696	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo [Smart Choice Ideapad Gaming 3 Laptop AMD Ryzen 5 5500H 15.6"" (39.62Cm) Fhd IPS 300Nits 144Hz (8Gb/512Gb Ssd/Win11/Nvidia RTX 2050 4Gb/Alexa/3 Month Game Pass/Shadow Black/2.32Kg),82K20289In"	48190.0	0.38	4.0	681	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Primebook 4G, 2024(New, WiFi+4G) Android Based MediaTek MT8788 - (PrimeOS) 4G SIM Slot, Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C, USB, HDMI, MicroSD) (4GB/64GB eMMC Storage, Black)	14790.0	0.4	4.6	204	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN"	41190.0	0.29	4.1	157	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo LOQ 2024 Intel Core i5-13450HX 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 4050 6GB Graphics/MSO 21/1Yr ADP Free/3 Mon Game Pass/Grey/2.4Kg), 83DV007GIN"	87190.0	0.23	4.0	149	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
HP 15s Ryzen 5000 (16GB RAM/512GB SSD/FHD/Windows 11/MS Office 21/Backlit Keyboard/ 15.6” (39.6 cm)/Silver/2.21 KG) eq2305AU/eq2182au Laptop	41990.0	0.29	4.0	767	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics), Black"	12740.0	0.78	3.5	636	FREE delivery	
"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG"	34990.0	0.41	4.0	51	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/MSO 21/1Yr ADP Free/Alexa Built-in/3 mon Game Pass/Grey/1.6Kg), 83EM008GIN"	66190.0	0.22	3.9	629	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
HP Laptop 14, Intel Core Ultra 5 125H, Built-in AI, 14-inch (35.6 cm), FHD, 16GB DDR5, 512GB SSD, Intel Arc Graphics, 1080p FHD Camera w/Privacy Shutter, Backlit KB (Win 11, Silver, 1.4 kg), gr1022TU	67990.0	0.17	4.6	3	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Apple 2024 MacBook Air 13″ Laptop with M3 chip: 34.46 cm (13.6″) Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID- Midnight	107990.0	0.06	4.5	91	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG"	32990.0	0.35	3.9	1141	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"HP Laptop 255 G9 (2024), AMD Athlon Silver 3050U - (8GB/256GB SSD/AMD Radeon Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg/MS Office 2021 Pro Plus"	22800.0	0.7	3.7	5	FREE delivery Mon, 18 Nov	
HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray	39990.0	0.49	4.0	506	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo V15 G2 15.6"" FHD Anti-Glare Business Laptop, Intel Celeron N4500, 8GB RAM, 256 SSD, Intel UHD Graphics, HD Camera, HD Audio, Wi-Fi, Bluetooth, Windows 11, Black"	22990.0	0.71	3.3	23	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
HP Smartchoice Victus Gaming Laptop, 13th Gen Intel Core i5-13420H,6GB RTX 4050 GPU,15.6-inch(39.6 cm),FHD,IPS,144 Hz,16GB DDR4,1TB SSD,Backlit KB,B&O (Win 11,MSO,Blue,2.37 kg),fa1317TX	48990.0	0.22	3.9	45	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Dell G15-5530 Gaming Laptop, Intel Core i5-13450HX Processor, 16GB DDR5, 512GB,NVIDIA RTX 3050,6GB GDDR6, 15.6"" (39.62cm) FHD 120Hz 250 nits, Backlit KB Orange,Windows 11 + MSO'21,Dark Shadow, 2.65kg"	53820.0	0.23	3.9	929	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
Lenovo [Smartchoice LOQ 12th Gen Intel Core i5-12450HX /39.6cm/ 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/ RTX 3050 6GB Graphics/100% sRGB/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS003UIN	53820.0	0.23	3.9	407	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Dell [Smartchoice]15 Thin & Light Laptop, Intel Core i5-1235U Processor, 8GB, 512GB, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Intel UHD Graphics Win 11 + MSO'21 + 15 Month McAfee, Titan Grey,1.69kg"	48990.0	0.22	3.5	513	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 14"" (35.5cm) FHD 250 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 21/1Yr ADP Free/Alexa built-in/3 mon. Game Pass/Grey/1.37Kg), 83EQ005VIN"	53820.0	0.23	3.8	412	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 Whr/HD Webcam) A324-45 with 35.56 cm (14"") HD Display, Pure Silver, 1.3 KG"	19990.0	0.33	3.3	139	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 Whr/HD Webcam) A324-45 with 35.56 cm (14"") HD Display, Pure Silver, 1.3 KG"	20990.0	0.36	3.3	139	FREE delivery Mon, 18 Nov	Or fastest delivery Tomorrow, 14 Nov
HP 15s Core i3 12th Gen (8GB RAM/512 GB SSD/FHD/Windows 11/MS Office 21/15.6” (39.6cm)/Silver/1.69kg) fy5006TU Laptop	35790.0	0.28	4.1	635	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
ASUS TUF Gaming A15, Ryzen 7 7435HS, 15.6-inch, FHD 144Hz, Gaming Laptop (16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/48WHr/Graphite Black/2.3 Kg), FA506NCR-HN054W	65990.0	0.21	4.0	327	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"(Refurbished) HP EliteBook 820 G4 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM|256 GB SSD|12.5"" (31.8 cm) HD|Windows 11|MS Office|WiFi|Webcam|Intel HD Graphics)"	13999.0	0.84	2.9	3	FREE delivery Mon, 18 Nov	Or fastest delivery Sat, 16 Nov
"(Refurbished) HP Elitebook 745 G5| AMD Ryzen 5 Pro 2500U Laptop ( 8 GB DDR4 RAM | 256 GB SSD | 14"" (35.6 cm) HD | Windows 11 | MS Office | WiFi | BT | Webcam | AMD Radeon Graphics)"	19999.0	0.8	5.0	2	FREE delivery	This item will be released on November 14, 2024.
"Dell [Smartchoice] Core i3-1215U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15""(38 cm)/15 Month McAfee/Black/1.69kg Laptop"	35990.0	0.26	3.7	552	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Dell Inspiron 3530 Laptop, 13th Gen Intel Core i5-1334U Processor, 16GB, 512GB SSD, 15.6""(39.62cm) FHD 120Hz 250 nits, Backlit KB, Windows 11 + Mso'21 & 15 Month McAfee, Silver, Thin & Light- 1.62kg"	55155.0	0.24	3.7	23	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo ThinkPad E14 Intel Core i5 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/1TB SSD/Windows 11 Home/Backlit Keyboard/FPR/Black/1Y Onsite/1.41 kg), 21JKS0X900"	72030.0	0.36	5.0	2	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Dell Inspiron 3535, AMD Ryzen 3 7320U Processor, (8GB RAM/512GB SSD/Window 11/MS Office' 21/15.6""(39.62 cm) FHD Display/15 Month McAfee/Carbon Black/1.67kg Thin & Light Laptop"	29990.0	0.23	3.9	40	FREE delivery Sat, 16 Nov	Or fastest delivery Tomorrow, 14 Nov
"(Refurbished) Lenovo ThinkPad T470 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM|256 GB SSD|14"" (35.6 cm) HD|Windows 11|WiFi|Bluetooth|Webcam|Intel HD Graphics)"	16100.0	0.84	4.5	2	FREE delivery Sat, 16 Nov	Or fastest delivery Fri, 15 Nov
HP Laptop 15s, AMD Ryzen 7 5700U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, AMD Radeon graphics, Backlit KB, Thin & light, Dual speakers (Win 11, MSO 2021, Silver, 1.69 kg), ey2001AU	44090.0	0.31	3.9	185	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
ASUS Vivobook 16, IntelCore i3-1215U 12th Gen, Thin and Light Laptop, 16-inch (40.64 cm) FHD+, (8 GB RAM/512GB SSD/Windows 11/Fingerprint/Black/1.88kg), X1605ZAB-MB322WS	34990.0	0.38	3.8	361	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Acer [Smartchoice Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/8 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG"	28990.0	0.4	3.9	747	FREE delivery Fri, 15 Nov	Or fastest delivery Tomorrow, 14 Nov
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty"	24990.0	0.34	4.0	90	FREE delivery Mon, 18 Nov	Or fastest delivery Tomorrow, 14 Nov
